REF_AREA,FREQ,COMMODITY,VERSION_ID,TIME_PERIOD,OBS_VALUE,MEASURE,UNIT_MEAS
OECD,A,CPC_216,AO_2021_2030,2024,2.677719431469754e-06,ST_PC,T
OECD,A,CPC_EX_SH,AO_2021_2030,2024,1.63606757e-07,ST_PC,T
OECD,A,CPC_0151T0155,AO_2021_2030,2024,1.413266183e-08,ST_PC,T
OECD,A,CPC_0141,AO_2021_2030,2024,8.737900608e-06,ST_PC,T
OECD,A,CPC_04,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_EX_222121,AO_2021_2030,2024,2.477992378e-07,ST_PC,T
OECD,A,CPC_0112,AO_2021_2030,2024,5.842848024e-05,ST_PC,T
OECD,A,CPC_EX_FHC,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_21920,AO_2021_2030,2024,1.277053543e-06,ST_PC,T
OECD,A,CPC_22211,AO_2021_2030,2024,2.44470155e-08,ST_PC,T
OECD,A,CPC_EX_DDG,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_0114T0119,AO_2021_2030,2024,2.1036191e-05,ST_PC,T
OECD,A,CPC_2226,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_EX_AC,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_EX_PT,AO_2021_2030,2024,6.797991948e-07,ST_PC,T
OECD,A,CPC_01802,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_2351,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_EX_BV,AO_2021_2030,2024,7.727932917e-07,ST_PC,T
OECD,A,CPC_2225,AO_2021_2030,2024,9.445006734e-07,ST_PC,T
OECD,A,CPC_017,AO_2021_2030,2024,1.490610052e-05,ST_PC,T
OECD,A,CPC_2352,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_0113,AO_2021_2030,2024,8.961610525e-06,ST_PC,T
OECD,A,CPC_21233,AO_2021_2030,2024,1.926076024e-07,ST_PC,T
OECD,A,CPC_23210,AO_2021_2030,2024,2.149181878e-13,ST_PC,T
OECD,A,CPC_01801,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_0143,AO_2021_2030,2024,1.878036722e-06,ST_PC,T
OECD,A,CPC_2354,AO_2021_2030,2024,4.062253202e-07,ST_PC,T
OECD,A,CPC_022,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_0111,AO_2021_2030,2024,4.42168104e-05,ST_PC,T
OECD,A,CPC_0144,AO_2021_2030,2024,3.686637318e-06,ST_PC,T
OECD,A,CPC_2222T2223,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_21525,AO_2021_2030,2024,7.969789667e-08,ST_PC,T
OECD,A,CPC_EX_PK,AO_2021_2030,2024,6.182169671e-07,ST_PC,T
OECD,A,CPC_235,AO_2021_2030,2024,1.041958141e-05,ST_PC,T
OECD,A,CPC_2224,AO_2021_2030,2024,1.295672264e-07,ST_PC,T
OECD,A,CPC_EX_222122,AO_2021_2030,2024,0,ST_PC,T
OECD,A,CPC_223,AO_2021_2030,2024,3.794452245e-09,ST_PC,T
